Date,Prices,Buy,Sell
2023-05-07,173.0965118408203,1.0,1.0
2023-05-08,173.0965118408203,1.0,1.0
2023-05-09,173.0266876220703,1.0,1.0
2023-05-10,171.30142211914062,1.0,1.0
2023-05-11,173.08653259277344,1.0,1.0
2023-05-12,173.27601623535156,1.0,1.0
2023-05-13,172.3372802734375,1.0,1.0
2023-05-14,172.3372802734375,1.0,1.0
2023-05-15,172.3372802734375,1.0,1.0
2023-05-16,171.8379669189453,1.0,1.0
2023-05-17,171.8379669189453,1.0,1.0
2023-05-18,172.45712280273438,1.0,1.0
2023-05-19,174.81393432617188,1.0,1.0
2023-05-20,174.92379760742188,1.0,1.0
2023-05-21,174.92379760742188,1.0,1.0
2023-05-22,174.92379760742188,1.0,1.0
2023-05-23,173.96507263183594,1.0,1.0
2023-05-24,171.32864379882812,1.0,1.0
2023-05-25,171.60826110839844,1.0,1.0
2023-05-26,172.7567138671875,1.0,1.0
2023-05-27,175.19342041015625,1.0,1.0
2023-05-28,175.19342041015625,1.0,1.0
2023-05-29,175.19342041015625,1.0,1.0
2023-05-30,175.19342041015625,1.0,1.0
2023-05-31,177.06089782714844,1.0,1.0
2023-06-01,177.01097106933594,1.0,1.0
2023-06-02,179.84713745117188,1.0,1.0
2023-06-03,180.7059783935547,1.0,1.0
2023-06-04,180.7059783935547,1.0,1.0
2023-06-05,180.7059783935547,1.0,1.0
2023-06-06,179.33782958984375,1.0,1.0
2023-06-07,178.9683380126953,1.0,1.0
2023-06-08,177.5802001953125,1.0,1.0
2023-06-09,180.3264923095703,1.0,1.0
2023-06-10,180.71597290039065,1.0,1.0
2023-06-11,180.71597290039065,1.0,1.0
2023-06-12,180.71597290039065,1.0,1.0
2023-06-13,183.54214477539065,1.0,1.0
2023-06-14,183.0627899169922,1.0,1.0
2023-06-15,183.70193481445312,1.0,1.0
2023-06-16,185.7591552734375,1.0,1.0
2023-06-17,184.67062377929688,1.0,1.0
2023-06-18,184.67062377929688,1.0,1.0
2023-06-19,184.67062377929688,1.0,1.0
2023-06-20,184.67062377929688,1.0,1.0
2023-06-21,184.760498046875,1.0,1.0
2023-06-22,183.71192932128903,1.0,1.0
2023-06-23,186.7478179931641,1.0,1.0
2023-06-24,186.42823791503903,1.0,1.0
2023-06-25,186.42823791503903,1.0,1.0
2023-06-26,186.42823791503903,1.0,1.0
2023-06-27,185.0201568603516,1.0,1.0
2023-06-28,187.806381225586,1.0,1.0
2023-06-29,188.99478149414065,1.0,1.0
2023-06-30,189.33432006835932,1.0,1.0
2023-07-01,193.7084197998047,1.0,1.0
2023-07-02,193.7084197998047,1.0,1.0
2023-07-03,193.7084197998047,1.0,1.0
2023-07-04,192.20046997070312,1.0,1.0
2023-07-05,192.20046997070312,1.0,1.0
2023-07-06,191.0719757080078,1.0,1.0
2023-07-07,191.55133056640625,1.0,1.0
2023-07-08,190.4228515625,1.0,1.0
2023-07-09,190.4228515625,1.0,1.0
2023-07-10,190.4228515625,1.0,1.0
2023-07-11,188.35565185546875,1.0,1.0
2023-07-12,187.8263702392578,1.0,1.0
2023-07-13,189.5140838623047,1.0,1.0
2023-07-14,190.2830352783203,1.0,1.0
2023-07-15,190.432846069336,1.0,1.0
2023-07-16,190.432846069336,1.0,1.0
2023-07-17,190.432846069336,1.0,1.0
2023-07-18,193.7283935546875,1.0,1.0
2023-07-19,193.4687347412109,1.0,1.0
2023-07-20,194.8368988037109,1.0,1.0
2023-07-21,192.8695526123047,1.0,1.0
2023-07-22,191.68116760253903,1.0,1.0
2023-07-23,191.68116760253903,1.0,1.0
2023-07-24,191.68116760253903,1.0,1.0
2023-07-25,192.4900665283203,1.0,1.0
2023-07-26,193.35888671875,1.0,1.0
2023-07-27,194.2377014160156,1.0,1.0
2023-07-28,192.9594268798828,1.0,1.0
2023-07-29,195.56591796875,1.0,1.0
